Company name,Company Type,Website,E-mail Address,Phone Number,Location,Skype Id,
"Aramex Dhaka Limited
WebsiteDirections
Save",E-Commerce,www.aramex.com,,02-9896511,"Bir Uttam Mir Shawkat Sarak, Dhaka 1208",,
Continental Courier Service,Delivery(Courier),,,01762-680006,"Motijheel C/A, Dhaka 1000",,phn dhuke nai
Topstar Cargo Systems Ltd.,Freight forwarding service,,,02-8835768,"101 Gulshan Ave, Dhaka 1212",,
Fox Parcel,Freight forwarding service,https://foxparcel.business.site/?utm_source=gmb&utm_medium=referral,foxparcel@gmail.com,01716-819115,"Mirpur, Dhaka 1216",,
HungryNaki,Delivery(food),https://hungrynaki.com/,,09678-454545,"House B148, Road 22, New, Dhaka 1206",,
Airpak Express (BD) Ltd.,Delivery(Courier),www.airpakbd.com,info@airpakbd.com,02-7161620,"Motijheel C/A, Dhaka 1000",,phn dhuke na
SteadFast Courier,Delivery(Courier),www.steadfastcourier.com,info@steadfastcourier.com,09611-989898,"Moneshwar Road, Zigatola, Dhaka 1209",,kg chara korbe na. dhaka 60 tk. Additional 20 tk. Baire kase 100 addi 30. dure 130 addi 30
Foodpanda,Delivery(food),www.foodpanda.com.bd,,,,,
Amikinee,Delivery(Medicine),amikinee.com,,,,,
Meena Click,Delivery(Groceries),www.meenaclick.com/,info@meenaclick.com,9678666111,"Dhanmondi, Dhaka-1209",,
ePharma.com.bd,Delivery(Medicine),www.epharma.com.bd,info@epharma.com.bd,880 9617111555,,,
Biomed.com.bd,Delivery(Medicine),http://biomed.com.bd/,,1882155555,"57/E, West Panthapath
Dhaka-1215",,
Sheba.xyz,Service,www.sheba.xyz,info@sheba.xyz,09678-016516,"Gulshan 2, Dhaka 1212",,
HandyMama,Service,handymama.co,sales@handymama.co,1928292929,"Road-1, House-120, Banani",,
BDGift.com,Delivery(Gift),www.bdgift.com,info@bdgift.com,1918935511,"Mirpur-1, Dhaka,",,
Aladinbd.com,Delivery(Gift),www.aladinbd.com,info@aladinkids.com,1792203040,"Sector-6, Uttara, Dhaka-1230",,
Firoza's Kitchen(home made food),Delivery(food),https://bangladeshbusinessdir.com/firozas-kitchen/,,1636404063,"Dhaka Cantonment, Dhaka 1206",,
Food Mart,Delivery(food),https://foodmart.com.bd/,,01793 111333,"Dhaka, Bangladesh",,
Home Chef(home made food),Delivery(food),www.homechef.com.bd,homechefdhaka@gmail.com,1787697911,"Baridhara DOHS, Dhaka-1206",,
Dreamland Courier Services Limited,Delivery(Courier),www.dreamlandcourier.com,,01713-482828,"Motijheel, Dhaka-1000",,response valo. Dhaka and zilla sohor. Per kg 60 inside dhaka. Additional 25 tk. Outside dhaka 120 per kg. additional 40 tk. Kg er ceye olpo besi hole 1 kg e dhorbe.
Anamika Enterprise,Delivery(Courier),,,29565246,"Motijheel, Dhaka-1000",,phn off
Azad Express Parcel Service Ltd.,Delivery(Courier),,,28322186,"Shantinagar, Dhaka-1212",,phn off
Delta Express,Delivery(Courier),,,27171724,"Motijheel, Dhaka-1000",,phn off
Dhaka Courier Services,Delivery(Courier),,,29358059,"Malibagh, Dhaka-1217",,phn off
Inland Express,Delivery(Courier),,,27160879,"Motijheel, Dhaka-1000",,phn off
Modhubon Courier Service,Delivery(Courier),,,29351745,"Fakirapool, Dhaka",,phn dhore nai
Agility Logisctics Bangladesh,Logistics,www.agility.com,,02-9889283,"House 155, Road 11&13/B, Block E, Dhaka 1213",,
Navana Logistics Ltd,Logistics,www.navana-logistics.com,info@navana-logistics.com,258810836,Gulshan 1,,
APL Logistics,Logistics,www.apllogistics.com,,,,,
Desh Catering,Delivery(food),www.deshcatering.com,manager@deshcatering.com,01715-999510,"Dhaka Cantonment, Dhaka 1206",,
"Spice Catering Ltd.
WebsiteDirections
Save",Delivery(food),www.spicecateringbd.com,contact@spicecateringbd.com,01938-555666,"house-12,road no-33, 12 Road No 110, Dhaka 1212",,
Alpha Catering,Delivery(food),alphacateringservices.com/,eatwell@alphacateringservices.com,01755-664455,"Ibrahimpur Bazar Rd, Dhaka 1206",,
BD Online Bazar,Delivery,www.bdonlinebazar.com,support@Bdonlinebazar.com,01977-866601,"Bir Uttam Rafiqul Islam Ave, Dhaka 1212",,
Food tong,Delivery(food),https://foodtong.co/,contact@foodtong.co,1741817283,,,
Food24X7BD,Delivery(food),https://www.foodyas.com/BD/Dhaka/1636958853253757/Food24x7,,1944247247,Bashundhara,,
Iferi.com,Delivery(home living products),www.iferi.com,info@iferi.com,1706688000,"Mirpur DOHS, Dhaka 1216",,
KhaasFood.com,Delivery(Groceries),https://khaasfood.com/,khaasfood@gmail.com,1708183873,"Dhaka, Bangladesh",,
Buymobile.com.bd,Delivery(electronics),www.buymobile.com.bd,info@buymobile.com.bd,1798222111,"Banani, Dhaka 1213",,
Branoo.com,Delivery(brand products),www.branoo.com,support@branoo.com,01721-108040,,,
Shadmart.com,Online shop,www.shadmart.com,support@shadmart.com,,"Banani, dhaka1213",,
C-Express Limited,Logistics,www.capitalbd.net,info@capitalbd.net,1730317801,"Banani,Dhaka",,
Roshoi BD,E-commerce(grocery),www.roshoi.com,roshoibd@gmail.com,1977274457,"West Khulshi, Chittagong",,
Ponno bd,Electronics,www.ponnobd.com,raquibul2030@gmail.com,1716122945,"Shewrapara, Dhaka",,
Doodadi,E-commerce,www.doodadi.com,emaildoodadi@gmail.com,1713049053,"West Panthapath, Dhaka",,
Real Time Systems,E-commerce,www.realtimebd.com,realtimesystems@yahoo.com,1977629070,"Motijheel,Dhaka",,
Valokini.com,E-commerce,www.valokini.com,valokini5@gmail.com,1841700233,"Moghbazar,Dhaka",,
Secure E-commerce,E-commerce,www.hijabburka.com,nasurabegum@gmail.com,1552385254,"Kakrail,Madaripur",,
eMedicine.com.bd,E-commerce,www.emedicine.com.bd,panvltd@gmail.com,1990500300,"Pallabi , Mirpur",,
Shop for 121,E-commerce,www.shopfor121.com,support@shopfor121.com,1711663388,"Mohammadpur,Dhaka",,
Ahaar,Logistics(Food),,,,,,
MojaDough,Logistics(Food),,,1963905400,,,
NRB bazaar,E-commerce,www.nrbbazaar.com,contact@nrbbazaar.com,1847268001,"Farmgate, Dhaka",,
ShopHobe,Delivery and Software Solution,www.shophobe.com,shimahinltd@gmail.com,1714521199,"Gulshan-1 , Dhaka",,
eBoighar,E-commerce(Book),www.eboighar.com,info@eboighar.com,1918993322,"Moghbazar,Dhaka",,
MotorCycle Parts BD,E-commerce(Bike Parts),www.motorcyclepartsbd.com,motorcyclepartsbd@gmail.com,1723726726,Jessore,,
iZoom ltd,E-commerce(Tech),www.izoom.com.bd,info@izoom.com.bd,1534855125,"Panthapath, Dhaka",,
Kenakata Protidin,E-commerce,fb.com/kenakata.protidin.18?hc_ref=SE,info@kenakataprotidin.com,1912888333,"Paltan, Dhaka",,
Foto Cart,E-commerce,www.fotocart.com.bd,awal@fotocart.com.bd,1844018401,"Baridhara DOHS, Dhaka",,
Needs Home Delivery,Logistics,,needsofficial.bd@gmail.com,1719256008,Dhaka,,
Bidyut Delivery Service,Logistics,www.bidyut.com,info@bidyut.com,,,,
Paperfly,Logistics,www.paperfly.com.bd,infp@paperfly.com.bd,1998706032,"Banani,Dhaka",,
Deshi Courier,Logistics,www.deshicourier.com,support@deshicourier.com,1712886876,"Mirpur-10, Dhaka",,
ASAP,Logistics,www.asapdeliveries.com.bd,info@asapdeliveries.com.bd,1675583010,"Dhanmondi, Dhaka",,
Gati,Logistics,www.gatilogistic.com,gatilogistic19@gmail.com,1712151503,"North Badda, Dhaka",,
Brothers Cake Delivery Service,Logistics(Food),,,1969339004,"Mirpur-14, Dhaka",,
Bismillah Catering Service,Logistics(Food),,,1682230432,"Baridhara,Dhaka",,
Catering Service & Food Delivery,Logistics(Food),,,1819427710,"Gulshan, Dhaka",,
Aaraz World,Logistics(Food),,,1517108055,Dhaka,,
Alpha Catering,Logistics(Food),www.alphacateringservices.com,eatwell@alphacateringservices.com,1755664455,"Ibrahimpur, Dhaka",,
JB’s Catering,Logistics(Food),,,1748190652,Dhaka,,
Chal Chula,Logistics(Food),www.chalchula.com,info@chalchula.com,1978128592,"Dhali Bari Mor, Vatara, Dhaka",,
Baburchi Restaurant,Logistics(Food),www.baburchibd.com,baburchibd@gmail.com,02-9676766,"Shat Mosjid Road, Dhanmondi",,
Salam Catering Service,Logistics(Food),www.salamcateringservicebd.com,salamcateringservice@gmail.com,1705525535,"Mohammadpur,Dhaka",,
Masterchef Haji Md.Fazlur Rahman Catering,Logistics(Food),www.fazlucateringbd.com,cheffazlu365@gmail.com,1919386643,Dhaka,,
Lunchbreak Catering Co,Logistics(Food),,,1928427689,"Rampura, Dhaka",,
Classy Dine,Logistics(Food),www.classydine.com.bd,classydine@gmail.com,1911111222,"Gulshan-1 , Dhaka",,
Tehari Express,Logistics(Food),,expresstehari@gmail.com,1302254631,Dhaka,,
Red Cabbage Catering Service,Logistics(Food),www.RedCabbageCateringBD.com,info@redcabbagecateringbd.com,1832905892,"Gudara Ghat, Dhaka",,
Baking & Beyond by Himu,Logistics(Food),,123fatama.nashir@gmail.com,1747904205,,,
Jagoroni Catering,Logistics(Food),,mahfuzasoby01@gmail.com,1302275919,"Mirpur DOHS,Dhaka",,
Salsa Catering Service,Logistics(Food),www.salsa.com.bd,info@salsa.com.bd,1933889944,Dhaka,,
Rancon Hospitality Ltd,Logistics(Food),www.rancon.com.bd,info@ranconhospitality.com,1903333777,"Tejgaon, Dhaka",,
Bangalianay Bangali Voj Catering,Logistics(Food),www.bangalianaybangalivoj.com,bangalianaybangalivoj@gmail.com,1717580000,"Mohammadpur,Dhaka",,
Marketon,E-commerce,www.marketon.com.bd,info@marketon.com.bd,9678771377,"Banasree,Dhaka",,
Banglashoppers.com,E-commerce,www.banglashoppers.com,sales@banglashoppers.com,1559222444,"Banani,Dhaka",,
Life Ok.com,E-commerce,,lifeok.com1@gmail.com,1760183211,,,
Minha Home Delivery Services,Logistics(Food),,,,"Gazipur, Dhaka",,
Mahira Home Delivery Services,Logistics,,,1307946481,Rajshahi,,
Foodbite Home Delivery Services,"Logostics(Food,Laundry,Parcel)",www.thefoodbite.com,info@thefoodbite.com,1727494179,Sylhet,,
Desire BD,E-commerce(Clothing),,,1628474852,"Dhanmondi,Dhaka",,
Food Express Home Delivery Service,Logistics(Food),,foodexpress.sylhet@gmail.com,1718726780,Sylhet,,
Onlinestore.com.bd,E-commerce(Bags),www.onlinestore.com.bd,info@onlinestore.com.bd,1883020028,"Adabor, Dhaka",,
E-Delivery BD,Logostics,,,9602111151,"Bashabo, Dhaka",,
BD Home Delivery,E-commerce,,,1881172811,"Mirpur DOHS,Dhaka",,
Kaktaru.com,E-commerce,www.kaktaru.com,kaktaru@gmail.com,02-58315899,"Naya Paltan, Dhaka",,
RapidEx,Logistics(Cargo),,admin@rapidexbd.com,1712456978,"Hatirpool, Dhaka",,
Motion Courier & Home Delivery,Logostics,,motioncourierbd@gmail.com,1830285591,"Gulshan-1 , Dhaka",,
Momentum Courier and Delivery Service,Logistics,,,1914000844,"Grand Plaza, Dhaka",,
Gadstyle BD,E-commerce,www.gadstyle.com,info@gadstyle.com,1757672906,,,
BD- Fitness Supplements,Supplement Store,www.bd-fitness.com,info@bd-fitness.com,1712388388,"Banani,Dhaka",,
Knock For It,E-commerce,,,,Dhaka,,
Pick4Less,E-commerce,www.pick4less.com,info@pick4less.com,9609004000,Dhaka,,
Parcel.com BD,Logostics,www.parcelbd24.com,parcelbd24@gmail.com,1405389994,Dhaka,,
Parcel Xpress BD,Logistics,www.parcelxpressbd.com,parcelxpressbd@gmail.com,1842775002,Dhaka,,
Duronto Express,Logostics,www.durontoexpressbd.com,info@durontoexpressbd.com,,Dhaka,,
Bonik Bazaar,E-commerce,,,1400600918,"Rampura, Dhaka",,
Pouchhai Delivery Service,Logistics,,pouchhaibd@gmail.com,1717103184,Dhaka,,
